Pertanyaan,JawabA,JawabB,JawabC,JawabD,Kunci,NamaGambar
"[Bacaan Gabungan] Kanji ""Kazan"" (Gunung Berapi) ditulis dengan...",火山,山火,水山,山水,0,
"[Bacaan Gabungan] ""Hanabi"" (Kembang Api) ditulis dengan...",花火,火花,山花,火山,0,
"[Bacaan Gabungan] ""Suisha"" (Kincir Air) ditulis dengan...",水車,車水,水本,火車,0,
"[Bacaan] Dalam kata ""Kazan"" (Gunung Berapi), Kanji ""山"" dibaca...",Yama,San,Zan,Sen,2,
"[Bacaan] Dalam kata ""Suisha"" (Kincir Air), Kanji ""車"" dibaca...",Kuruma,Sha,Ja,Guruma,1,
"[Bacaan] Dalam kata ""Mokuyoubi"" (Kamis), Kanji ""木"" dibaca...",Ki,Moku,Boku,Mu,1,
"[Bacaan] Dalam kata ""Suiyoubi"" (Rabu), Kanji ""水"" dibaca...",Mizu,Sui,Zu,Shi,1,
[Partikel] Neko __ sakana __ taberaremashita (Ikan dimakan oleh kucing).,wa / ga,ni / o,ni / wa,ga / ni,3,
[Partikel] Watashi wa kuruma __ hoshigatte imasu. (Saya menginginkan mobil).,ga,o,wa,ni,0,
[Partikel] Ano hito __ dare desu ka. (Orang itu siapa? - Penekanan Subjek).,wa,ga,no,ni,0,
[Partikel] Yama __ noboru no ga suki desu. (Suka mendaki gunung).,ni,de,o,ga,0,
"[Partikel] Ame __ yanda kara, dekakemasu. (Karena hujan sudah berhenti...).",wa,ga,o,ni,1,
[Partikel] Koko de kutsu __ nuide kudasai. (Lepas sepatu di sini - Objek).,wa,ga,o,ni,2,
[Partikel] Mon __ toorimasu. (Melewati gerbang).,o,de,ni,ga,0,
[Partikel] Hito __ shinsetsu ni shimasu. (Berbuat baik kepada orang).,o,ni,wa,ga,1,
"[Partikel] Hon __ yomeba yomu hodo, kashikoku narimasu. (Semakin membaca buku...).",o,wa,ga,ni,0,
[Konteks] Manakah yang merupakan fenomena alam berbahaya?,花火,火山,水車,山道,1,
[Konteks] Benda yang digunakan untuk mengangkut barang adalah...,門,車,本,花,1,
[Hitungan] Satu batang pohon dihitung dengan satuan...,Mai,Hiki,Hon,Dai,2,
[Hitungan] Dua ekor kucing disebut...,Ni-hiki,Ni-hon,Ni-mai,Ni-nin,0,
[Hitungan] Tiga orang disebut...,San-nin,San-biki,San-mai,San-dai,0,
[Hitungan] Empat buah mobil disebut...,Yon-dai,Yon-hon,Yon-nin,Yon-biki,0,
"[Logika] Jika ""Mizu"" (Air) menjadi ""Kori"" (Es), maka ""Hi"" (Api) menjadi...",Ame,Hai (Abu),Ki,Tsuchi,1,
[Grammar] Neko ga neズmi (tikus) o... (Kucing mengejar tikus).,Oikakemasu,Oikakeraremashita,Oikakesasemashita,Oikakemasen,0,
"[Bacaan Gabungan] ""Sansui"" (Pemandangan alam) ditulis...",山水,水山,山火,雨山,0,
"[Bacaan] ""Ningyo"" (Putri Duyung) menggunakan Kanji Orang dan...",猫,魚,車,花,1,
"[Logika] ""Honya"" adalah toko buku, ""Hanaya"" adalah toko bunga. ""Sakanaya"" adalah...",Toko Ikan,Kolam Ikan,Pemancingan,Laut,0,
[Partikel] Kuruma __ kowaremashita. (Mobilnya rusak - Penekanan pada kejadian).,wa,ga,o,de,1,
[Partikel] Tsukue no ue ni hon __ arimasu. (Di atas meja ada buku).,ga,wa,o,de,0,
[Partikel] Kanojo wa neko __ mite imasu. (Dia sedang melihat kucing).,ga,o,ni,de,1,
[Partikel] Ame __ futte kimashita. (Hujan mulai turun).,ga,wa,o,ni,0,
[Partikel] Kawa no mizu __ tsumetai desu. (Air sungainya dingin).,wa,ga,o,de,0,
"[Bacaan] Kanji ""Jin"" dalam ""Gunjin"" (Tentara) adalah...",人,入,大,力,0,
"[Bacaan] ""Shako"" (Garasi) dimulai dengan Kanji...",車,庫,家,門,0,
"[Logika] Benda yang terbuat dari ""Ki"" (Kayu) adalah...",Hon (Buku/Kertas),Mizu,Hi,Ame,0,
