Pertanyaan,JawabanBenar,NamaGambar
"Gabungan Kanji ""Bunga"" dan ""Api"" (Kembang Api)",HANABI,
"Gabungan Kanji ""Api"" dan ""Gunung"" (Gunung Berapi)",KAZAN,
"Gabungan Kanji ""Air"" dan ""Mobil/Roda"" (Kincir Air)",SUISHA,
"Gabungan Kanji ""Orang"" dan ""Ikan"" (Putri Duyung)",NINGYO,
"Bahasa Jepangnya ""Orang Jepang"" (Nihon...)",NIHONJIN,
"Bahasa Jepangnya ""Ahli/Pakar"" (Kuro...)",KUROUTO,
"Kata lain untuk ""Surga"" (Ten...) - menggunakan Kanji 'Ame' sebagai 'Ama'",TENGOKU,
Elemen alam yang memadamkan api,MIZU,
Elemen alam yang membakar kayu,HI,
Hewan yang suka makan ikan,NEKO,
Kendaraan pribadi,KURUMA,
Sesuatu yang kita baca setiap hari,HON,
Bagian tumbuhan yang menjadi kertas,KI,
Tempat keluarnya asap di gunung,YAMA,
Cuaca yang membutuhkan payung,AME,
Masuk ke rumah melewati...,MON,
Makhluk yang berjalan dengan dua kaki,HITO,
Makanan kesukaan kucing,SAKANA,
Bunga Sakura adalah jenis...,HANA,
Gunung Fuji adalah jenis...,YAMA,
Toyota dan Honda memproduksi...,KURUMA,
Manga dan Novel adalah jenis...,HON,
Koi dan Salmon adalah jenis...,SAKANA,
Persia dan Anggora adalah jenis...,NEKO,
Hutan terdiri dari banyak...,KI,
Laut penuh dengan...,MIZU,
Matahari sifatnya seperti... (panas),HI,
Pintu gerbang utama,MON,
Orang banyak berkumpul (Kerumunan),HITOGOMI,
Jalan pegunungan (Yama...),YAMAMICHI,
Toko Bunga (Hana...),HANAYA,
Toko Buku (Hon...),HONYA,
Ikan Mas (Kin...),KINGYO,
Pintu Hujan / Penutup Jendela (Ama...),AMADO,
Apa yang basah?,MIZU,
Apa yang kering dan mudah terbakar?,KI,
Apa yang tajam tatapannya (hewan)?,NEKO,
Apa yang punya roda?,KURUMA,
Apa yang punya halaman (kertas)?,HON,
Apa yang punya kelopak?,HANA,
Apa yang punya sirip?,SAKANA,
Apa yang punya puncak?,YAMA,
Apa yang punya akar?,KI,
Apa yang tidak terlihat tapi basah?,AME,
Apa yang berbahaya jika disentuh?,HI,
"Kanji 山 dibaca ""San"" dalam kata Fujisan, tapi dibaca ... jika berdiri sendiri",YAMA,
"Kanji 水 dibaca ""Sui"" dalam Suiyoubi, tapi dibaca ... jika berdiri sendiri",MIZU,
"Kanji 火 dibaca ""Ka"" dalam Kayoubi, tapi dibaca ... jika berdiri sendiri",HI,
"Kanji 木 dibaca ""Moku"" dalam Mokuyoubi, tapi dibaca ... jika berdiri sendiri",KI,
"Kanji 車 dibaca ""Sha"" dalam Densha, tapi dibaca ... jika berdiri sendiri",KURUMA,
"Kanji 本 dibaca ""Hon"" atau ""Moto"", artinya adalah... (bahasa Jepang)",HON,
"Kanji 人 dibaca ""Jin"" atau ""Nin"", tapi dibaca ... jika berdiri sendiri",HITO,
"""Hanami"" adalah kegiatan melihat...",HANA,
"""Yamabiko"" adalah gema di...",YAMA,
"""Amagumo"" adalah awan...",AME,
"""Mizugi"" adalah baju... (renang)",MIZU,
"""Hibana"" adalah percikan...",HI,
"""Yakizakana"" adalah ... bakar",SAKANA,
"""Hitobito"" artinya orang-...",HITO,
"""Maneki Neko"" adalah patung...",NEKO,
"""Kurumaisu"" adalah kursi... (roda)",KURUMA,
"""Hondana"" adalah rak...",HON,
"""Kadomatsu"" adalah hiasan dari pohon... (pinus) di gerbang",MON,
"""Kibako"" adalah kotak... (kayu)",KI,
Warna merah sering melambangkan elemen...,HI,
Warna biru sering melambangkan elemen...,MIZU,
Warna hijau sering melambangkan elemen...,KI,
Benda yang digunakan untuk belajar,HON,
Benda yang digunakan untuk bepergian,KURUMA,
Benda yang menghiasi taman,HANA,
Benda yang mengalir di sungai,MIZU,
Benda yang jatuh dari langit,AME,
Gerbang sekolah disebut Kou...,KOUMON,
