Pertanyaan,JawabanBenar,NamaGambar
"Bahasa Jepang dari ""Pohon""",KI,
"Bahasa Jepang dari ""Gunung""",YAMA,
"Bahasa Jepang dari ""Bunga""",HANA,
"Bahasa Jepang dari ""Hujan""",AME,
"Bahasa Jepang dari ""Air""",MIZU,
"Bahasa Jepang dari ""Api""",HI,
"Bahasa Jepang dari ""Ikan""",SAKANA,
"Bahasa Jepang dari ""Orang""",HITO,
"Bahasa Jepang dari ""Kucing""",NEKO,
"Bahasa Jepang dari ""Mobil""",KURUMA,
"Bahasa Jepang dari ""Buku""",HON,
"Bahasa Jepang dari ""Gerbang""",MON,
"Cara membaca Kanji ""木""",KI,
"Cara membaca Kanji ""山""",YAMA,
"Cara membaca Kanji ""花""",HANA,
"Cara membaca Kanji ""雨""",AME,
"Cara membaca Kanji ""水""",MIZU,
"Cara membaca Kanji ""火""",HI,
"Cara membaca Kanji ""魚""",SAKANA,
"Cara membaca Kanji ""人""",HITO,
"Cara membaca Kanji ""猫""",NEKO,
"Cara membaca Kanji ""車""",KURUMA,
"Cara membaca Kanji ""本""",HON,
"Cara membaca Kanji ""門""",MON,
Benda cair yang kita minum,MIZU,
"Hewan yang berbunyi ""Nyan""",NEKO,
Tumbuhan besar dan tinggi,KI,
Benda yang dibaca,HON,
Kendaraan roda empat,KURUMA,
Hewan yang hidup di air,SAKANA,
Pintu besar di depan rumah atau kastil,MON,
Sesuatu yang panas dan merah,HI,
Air yang turun dari langit,AME,
Tempat yang tinggi untuk didaki,YAMA,
Tanaman cantik yang harum,HANA,
Manusia dalam bahasa Jepang,HITO,
"Lawan kata dari ""Air""",HI,
"Lawan kata dari ""Api""",MIZU,
Teman dari Anjing (Inu),NEKO,
Transportasi di jalan raya,KURUMA,
Benda yang ada di perpustakaan,HON,
Bagian dari tanaman yang berwarna-warni,HANA,
Tempat ikan berenang,MIZU,
Apa yang kita pakai untuk membakar kayu?,HI,
Apa yang kita pakai untuk menyiram bunga?,MIZU,
Tempat burung bersarang,KI,
Apa yang dibuka saat masuk halaman rumah?,MON,
Siapa yang mengendarai mobil?,HITO,
Apa yang turun saat mendung?,AME,
Apa yang meletus (Volcano)?,YAMA,
