Pertanyaan,JawabA,JawabB,JawabC,JawabD,Kunci,NamaGambar
"Apa bahasa Jepangnya ""Selamat Pagi""?",Ohayou Gozaimasu,Konnichiwa,Konbanwa,Sayounara,0,
"Apa arti dari kata ""Neko"" (猫)?",Anjing,Kucing,Burung,Ikan,1,
Partikel penanda topik kalimat adalah...,Wo (を),Wa (は),Ni (に),De (で),1,
"Kanji manakah yang berarti ""Air""?",火 (Hi),木 (Ki),水 (Mizu),土 (Tsuchi),2,
"Apa bahasa Jepangnya ""Terima Kasih""?",Sumimasen,Arigatou,Gomennasai,Iie,1,
"Angka ""San"" (三) berarti...",1,2,3,4,2,
"Apa arti kata sifat ""Oishii""?",Panas,Enak,Mahal,Lucu,1,
"Manakah kata kerja untuk ""Makan""?",Tabemasu,Nomimasu,Mimasu,Ikimasu,0,
"Kata ganti ""Saya"" yang sopan adalah...",Anata,Watashi,Kare,Dare,1,
Ucapan sebelum tidur adalah...,Ittekimasu,Tadaima,Oyasuminasai,Itadakimasu,2,
"Apa arti dari Kanji ""山""?",Sungai,Gunung,Langit,Tanah,1,
"Bagaimana cara membaca Kanji ""木""?",Ki,Mizu,Hi,Tsuchi,0,
"Manakah Kanji yang berarti ""Bunga""?",木,花,雨,魚,1,
"Apa arti dari kata ""Hana"" (花)?",Hidung,Bunga,Mulut,Telinga,1,
"Kanji ""雨"" dibaca sebagai...",Yuki,Kaze,Ame,Kumo,2,
"Apa arti dari Kanji ""火""?",Air,Udara,Api,Listrik,2,
"Manakah Kanji yang berarti ""Ikan""?",猫,人,車,魚,3,
"Apa arti dari Kanji ""人""?",Orang,Hewan,Dewa,Hantu,0,
"Bagaimana cara membaca Kanji ""車""?",Densha,Jitensha,Kuruma,Baiku,2,
"Kanji ""門"" memiliki arti...",Jendela,Pintu,Gerbang,Atap,2,
"Manakah Kanji untuk ""Buku""?",木,本,人,山,1,
"""Watashi no Hon"" artinya adalah...",Buku kamu,Buku saya,Buku dia,Buku guru,1,
"Apa bahasa Jepangnya ""Guru""?",Gakusei,Sensei,Senpai,Isha,1,
"Kata ""Gakusei"" (がくせい) berarti...",Guru,Murid,Dokter,Polisi,1,
"Angka ""Ichi"" (一) dalam bahasa Indonesia adalah...",Satu,Dua,Tiga,Empat,0,
