Pertanyaan,JawabA,JawabB,JawabC,JawabD,Kunci,NamaGambar
[Kalimat] Kawa ni __ ga imasu. (Ada ikan di sungai),花 (Hana),魚 (Sakana),山 (Yama),車 (Kuruma),1,
[Partikel] Watashi __ Neko ga suki desu. (Saya suka kucing),wo,de,ga,ni,2,
[Bacaan] Ano __ wa takai desu. (Gunung itu tinggi),山 (Yama),川 (Kawa),木 (Ki),田 (Ta),0,
[Kalimat] __ o yomimasu. (Membaca buku),本 (Hon),木 (Ki),人 (Hito),火 (Hi),0,
[Konteks] Ikan hidup di dalam...,火 (Hi),水 (Mizu),木 (Ki),本 (Hon),1,
[Partikel] Kuruma __ ikimasu. (Pergi menggunakan mobil),to,de,no,wo,1,
[Kalimat] __ ga futte imasu. (Sedang turun hujan),雨 (Ame),雪 (Yuki),風 (Kaze),火 (Hi),0,
[Bacaan] Kono __ wa kirei desu ne. (Bunga ini cantik ya),花 (Hana),茶 (Cha),草 (Kusa),木 (Ki),0,
[Konteks] Kita menyiram tanaman dengan...,火 (Hi),本 (Hon),水 (Mizu),車 (Kuruma),2,
[Partikel] Hito __ aimasu. (Bertemu dengan orang),wo,de,ni,ga,2,
[Kalimat] __ no shita de yasumimasu. (Beristirahat di bawah pohon),山 (Yama),木 (Ki),門 (Mon),水 (Mizu),1,
"[Lawan Kata] Lawan dari elemen ""Air"" (水) sering dikaitkan dengan...",木 (Ki),雨 (Ame),火 (Hi),花 (Hana),2,
"[Hitungan] ""Hitori"" adalah cara menghitung untuk...",本 (Buku),車 (Mobil),魚 (Ikan),人 (Orang),3,
[Kalimat] __ o akete kudasai. (Tolong buka gerbangnya),門 (Mon),本 (Hon),目 (Me),口 (Kuchi),0,
"[Bacaan] Kanji ""Kajitsu"" (火日) tidak umum, tapi ""Kayoubi"" menggunakan Kanji...",水,木,火,土,2,
[Kalimat] Koko ni __ wa haittewa ikemasen. (Mobil tidak boleh masuk ke sini),車 (Kuruma),人 (Hito),猫 (Neko),水 (Mizu),0,
[Kata Kerja] __ o kaimasu. (Membeli buku),雨 (Ame),本 (Hon),山 (Yama),門 (Mon),1,
[Partikel] Neko __ soto ni imasu. (Kucing ada di luar),wa,o,de,ni,0,
"[Gabungan] ""Hanami"" (melihat bunga) menggunakan Kanji...",花,山,雨,魚,0,
